tns_name,sub_num,is_repeater,n_methods,lof,knn,cblof
FRB20201126C,0,False,3,True,True,True
FRB20200130B,0,False,3,True,True,True
FRB20221219D,0,True,3,True,True,True
FRB20220407A,0,False,3,True,True,True
FRB20211108A,1,False,3,True,True,True
FRB20210513C,0,False,3,True,True,True
FRB20210512C,0,False,3,True,True,True
FRB20210423B,0,False,3,True,True,True
FRB20210222C,0,False,3,True,True,True
FRB20200723B,0,False,3,True,True,True
FRB20200705D,0,False,3,True,True,True
FRB20200429A,0,False,3,True,True,True
FRB20230826A,1,True,3,True,True,True
FRB20200127A,0,False,3,True,True,True
FRB20190104B,0,False,3,True,True,True
FRB20200122B,1,True,3,True,True,True
FRB20210909B,0,False,2,False,True,True
FRB20230422A,0,True,2,True,True,False
FRB20190116C,0,False,2,False,True,True
FRB20220222B,0,False,2,False,True,True
FRB20220219A,0,False,2,True,True,False
FRB20220124A,0,False,2,True,True,False
FRB20190202A,0,False,2,False,True,True
FRB20211105D,0,False,2,True,True,False
FRB20210925A,0,False,2,False,True,True
FRB20190216A,0,True,2,True,True,False
FRB20190531E,0,False,2,True,True,False
FRB20190816B,0,False,2,False,True,True
FRB20210415C,0,True,2,False,True,True
FRB20190912F,0,False,2,True,True,False
FRB20210206A,1,False,2,True,True,False
FRB20181119D,1,False,2,True,True,False
FRB20201120B,0,False,2,True,False,True
FRB20201119A,0,False,2,True,True,False
FRB20190929C,1,True,2,True,True,False
FRB20180925A,0,False,2,True,False,True
