tns_name,sub_num,n_methods,driver,driver_rel_err,max_rel_err,fit_flag
FRB20220407A,0,3,width_fitb,38.41373167934619,38.41373167934619,inspect_fit
FRB20210423B,0,3,width_fitb,8.163764376921845,8.163764376921845,inspect_fit
FRB20211108A,1,3,width_fitb,5.737295259425935,5.737295259425935,inspect_fit
FRB20200127A,0,3,width_fitb,3.659445240816143,3.659445240816143,inspect_fit
FRB20200130B,0,3,width_fitb,2.1669332032519186,2.1669332032519186,inspect_fit
FRB20201126C,0,3,flux,0.5973135871254749,0.5973135871254749,ok
FRB20230826A,1,3,width_fitb,0.568272054715911,0.568272054715911,ok
FRB20200429A,0,3,sp_run,0.4677499228981716,0.6111617301847658,ok
FRB20210512C,0,3,sp_run,0.3907014036321332,0.611474857559,ok
FRB20200705D,0,3,sp_run,0.3777451697864021,2.8103837668039655,ok
FRB20210222C,0,3,sp_run,0.3541577876860146,0.9330130197572177,ok
FRB20190104B,0,3,sp_run,0.2829482571431386,0.7632140281287614,ok
FRB20200723B,0,3,fluence,0.26006954438705615,0.292090296252196,ok
FRB20221219D,0,3,sp_run,0.10600321436700538,0.6327539897163104,ok
FRB20200122B,1,3,width_fitb,0.026585959942838355,7.415731873852593,ok
FRB20210513C,0,3,peak_freq,,2.3307115743319837,no_error_column
FRB20211105D,0,2,width_fitb,8.335236496720384,8.335236496720384,inspect_fit
FRB20201120B,0,2,width_fitb,4.371385706346394,4.371385706346394,inspect_fit
FRB20190912F,0,2,width_fitb,4.08600598138062,4.08600598138062,inspect_fit
FRB20220124A,0,2,width_fitb,3.0145583524500883,3.0145583524500883,inspect_fit
FRB20190531E,0,2,sp_run,0.8970727640464897,35.926551070465784,ok
FRB20220219A,0,2,width_fitb,0.6975010983535158,0.6975010983535158,ok
FRB20190202A,0,2,flux,0.42283750246139484,0.437408549258987,ok
FRB20190116C,0,2,flux,0.4085107002895867,0.4085107002895867,ok
FRB20190816B,0,2,flux,0.3536036904883825,1.2842698697452049,ok
FRB20210909B,0,2,flux,0.33628951565933735,0.33813061054195737,ok
FRB20210415C,0,2,fluence,0.29157505521032484,0.29157505521032484,ok
FRB20210206A,1,2,width_fitb,0.2895004156467195,0.32816855740756895,ok
FRB20190216A,0,2,fluence,0.2788160211444696,0.6915270573360498,ok
FRB20220222B,0,2,fluence,0.26232122212163217,0.3146421689260811,ok
FRB20190929C,1,2,sp_run,0.20094090334280162,0.5675283834339959,ok
FRB20181119D,1,2,sp_idx,0.1998667861800858,0.6086956521739131,ok
FRB20230422A,0,2,sp_run,0.19601508302837442,0.792322790359561,ok
FRB20210925A,0,2,flux,0.1936628545337127,0.20225100617807107,ok
FRB20201119A,0,2,sp_idx,0.12216811444999358,0.5859001694505541,ok
FRB20180925A,0,2,peak_freq,,3.775963594242274,no_error_column
