tns_name,sub_num,repeater_name,catalog1_flag,is_repeater,lof_median_rank,eif_score,knn_median_rank,cblof_score,subspace_score,cad_median_rank
FRB20180904A,0,,1,False,1728.0,0.421642523432968,1285.0,1.4841646701279514,2256.68,1212.0
FRB20180906A,0,,1,False,75.0,0.5312161120520958,98.0,3.6121814056107144,3249.6,236.0
FRB20180906B,0,,1,False,66.0,0.5018501808448492,165.0,2.5846504732545146,3525.34,1152.0
FRB20180907D,0,,1,False,1705.0,0.4382669971129253,1200.0,1.63116084024946,2322.62,3822.0
FRB20180907A,0,,1,False,2285.0,0.40696459322261075,2846.0,1.5775866604603597,2188.32,2662.0
FRB20180907B,0,,1,False,3841.0,0.39590386018169316,3539.0,1.036673900938733,1097.04,1782.0
FRB20180907C,0,,1,False,2527.0,0.4287120717478131,1792.0,1.0529854800081282,1745.1,2989.0
FRB20180907E,0,,1,False,2975.0,0.39789363652598386,3488.0,1.1922902562275126,1661.78,2483.0
FRB20180908B,0,FRB20180908B,1,True,922.0,0.4420526575710463,1129.0,1.5741424492363008,3071.26,2431.0
FRB20180909A,0,,1,False,1763.0,0.4798696010444812,1822.0,1.4539909402045812,2349.54,1336.0
FRB20180910A,0,FRB20180910A,1,True,422.0,0.5185267770544245,362.0,2.0375537808975763,3540.78,455.0
FRB20180915B,0,,1,False,1267.0,0.42714515481610205,2172.0,1.7223939738681533,3353.74,1391.0
FRB20180916A,0,,1,False,2509.0,0.4285177497891109,2234.0,1.483176644407983,1422.1,1211.0
FRB20180916C,0,,1,False,1117.0,0.4670768658366061,790.0,1.881891326813446,2943.7,3833.0
FRB20180917B,0,,1,False,3031.0,0.3998164864221675,2621.0,1.094862084781622,1232.92,2925.0
FRB20180917A,0,FRB20180814A,1,True,609.0,0.49961633111790554,497.0,1.770161330944112,3193.98,1826.0
FRB20180917A,1,FRB20180814A,1,True,1441.0,0.4759673636180132,1042.0,1.3242112228682454,2119.6,3015.0
